SNIFFERID;TIMESTAMP;TIPO;SSID;RSSI;MAC_O;FREC;CANAL
sniffer2.4Ghz_6;5/11/2022, 7:11:53 AM:720;PROBE REQUEST;SSID oculto o desconocido;-6 dBm;5a:f5:ba:66:22:ab;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:53 AM:722;PROBE REQUEST;SSID oculto o desconocido;-6 dBm;5a:f5:ba:66:22:ab;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:53 AM:724;PROBE REQUEST;SSID oculto o desconocido;-6 dBm;5a:f5:ba:66:22:ab;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:54 AM:750;PROBE REQUEST;SSID oculto o desconocido;-24 dBm;5a:f5:ba:66:22:ab;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:54 AM:752;PROBE REQUEST;SSID oculto o desconocido;-24 dBm;5a:f5:ba:66:22:ab;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:54 AM:754;PROBE REQUEST;SSID oculto o desconocido;-38 dBm;5a:f5:ba:66:22:ab;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:54 AM:756;PROBE REQUEST;SSID oculto o desconocido;-38 dBm;5a:f5:ba:66:22:ab;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:54 AM:758;PROBE REQUEST;CEEIM;-106 dBm;42:cb:6a:37:54:b7;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:54 AM:760;PROBE REQUEST;MOVISTAR_D280;-106 dBm;70:03:9f:7b:67:fb;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:54 AM:762;PROBE REQUEST;SSID oculto o desconocido;-86 dBm;94:17:00:71:ed:c3;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:54 AM:764;PROBE REQUEST;SSID oculto o desconocido;-88 dBm;00:22:fe:41:a4:2a;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:57 AM:860;PROBE REQUEST;SSID oculto o desconocido;-44 dBm;5a:f5:ba:66:22:ab;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:57 AM:862;PROBE REQUEST;SSID oculto o desconocido;-42 dBm;5a:f5:ba:66:22:ab;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:57 AM:865;PROBE REQUEST;SSID oculto o desconocido;-22 dBm;5a:f5:ba:66:22:ab;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:57 AM:867;PROBE REQUEST;SSID oculto o desconocido;-6 dBm;5a:f5:ba:66:22:ab;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:57 AM:868;PROBE REQUEST;SSID oculto o desconocido;-6 dBm;5a:f5:ba:66:22:ab;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:57 AM:870;PROBE REQUEST;SSID oculto o desconocido;-8 dBm;5a:f5:ba:66:22:ab;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:57 AM:871;PROBE REQUEST;SSID oculto o desconocido;-6 dBm;5a:f5:ba:66:22:ab;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:57 AM:873;PROBE REQUEST;SSID oculto o desconocido;-6 dBm;5a:f5:ba:66:22:ab;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:57 AM:874;PROBE REQUEST;SSID oculto o desconocido;-24 dBm;5a:f5:ba:66:22:ab;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:57 AM:876;PROBE REQUEST;SSID oculto o desconocido;-24 dBm;5a:f5:ba:66:22:ab;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:57 AM:877;PROBE REQUEST;SSID oculto o desconocido;-46 dBm;5a:f5:ba:66:22:ab;2437 Mhz;6
